Date,Open,High,Low,Close,Volume,Adj Close
2016-05-13,90.000000,91.669998,90.000000,90.519997,44392800,87.459572
2016-05-12,92.720001,92.779999,89.470001,90.339996,76314700,87.285637
2016-05-11,93.480003,93.570000,92.459999,92.510002,28719100,89.382286
2016-05-10,93.330002,93.570000,92.110001,93.419998,33686800,90.261513
2016-05-09,93.000000,93.769997,92.589996,92.790001,32936400,89.652824
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,89.585190
2016-05-05,94.000000,94.070000,92.680000,93.239998,35890500,90.087601
2016-05-04,95.199997,95.900002,93.820000,94.190002,41025500,90.454765
2016-05-03,94.199997,95.739998,93.680000,95.180000,56831300,91.405487
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,89.926582
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,90.022591
2016-04-28,97.610001,97.879997,94.250000,94.830002,82242700,91.069382
2016-04-27,96.000000,98.709999,95.680000,97.820000,114602100,93.940796
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,100.211845
2016-04-25,105.000000,105.650002,104.510002,105.080002,28031600,100.912903
2016-04-22,105.010002,106.480003,104.620003,105.680000,33683100,101.489113
2016-04-21,106.930000,106.930000,105.519997,105.970001,31552500,101.767609
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,102.881599
2016-04-19,107.879997,108.000000,106.230003,106.910004,32384900,102.670319
2016-04-18,108.889999,108.949997,106.940002,107.480003,60834000,103.217735
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,105.493736
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,107.654510
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,107.596893
2016-04-12,109.339996,110.500000,108.660004,110.440002,27232300,106.060333
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,104.696640
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,104.350922
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,104.235695
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,106.559723
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,105.455322
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,106.713379
2016-04-01,108.779999,110.000000,108.199997,109.989998,25874000,105.628189
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,104.667839
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,105.215225
2016-03-29,104.889999,107.790001,104.879997,107.680000,31190100,103.409798
2016-03-28,106.000000,106.190002,105.059998,105.190002,19411400,101.018539
2016-03-24,105.470001,106.250000,104.889999,105.669998,26133000,101.479515
2016-03-23,106.480003,107.070000,105.900002,106.129997,25703500,101.921272
2016-03-22,105.250000,107.290001,105.209999,106.720001,32444400,102.487862
2016-03-21,105.930000,107.650002,105.139999,105.910004,35502700,101.709991
2016-03-18,106.339996,106.500000,105.190002,105.919998,44205200,101.719589
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,101.604340
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,101.767609
2016-03-15,103.959999,105.180000,103.849998,104.580002,40067700,100.432732
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,98.454414
2016-03-11,102.239998,102.279999,101.500000,102.260002,27408200,98.204727
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,97.157944
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,97.109947
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,97.023506
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,97.830200
2016-03-04,102.370003,103.750000,101.370003,103.010002,46055100,98.924988
2016-03-03,100.580002,101.709999,100.449997,101.500000,36955700,97.474876
2016-03-02,100.510002,100.889999,99.639999,100.750000,33169600,96.754623
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,96.543343
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,92.855621
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,93.066895
2016-02-25,96.050003,96.760002,95.250000,96.760002,27582700,92.922836
2016-02-24,93.980003,96.379997,93.320000,96.099998,36255700,92.289017
2016-02-23,96.400002,96.500000,94.550003,94.690002,31942600,90.934929
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,93.038086
2016-02-19,96.000000,96.760002,95.800003,96.040001,35374200,92.231384
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,92.442665
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,94.228897
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,92.807602
2016-02-12,94.190002,94.500000,93.010002,93.989998,40351400,90.262688
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,89.984192
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,90.531593
2016-02-09,94.290001,95.940002,93.930000,94.989998,44331200,91.223038
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,91.242241
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,90.291489
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,92.769180
2016-02-03,95.000000,96.839996,94.080002,96.349998,45964300,92.029724
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,90.243576
2016-02-01,96.470001,96.709999,95.400002,96.430000,40943500,92.106140
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,92.975334
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,89.871048
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,89.231094
2016-01-26,99.930000,100.879997,98.070000,99.989998,75077000,95.506508
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,94.981171
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,96.872398
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,91.981964
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,92.449989
2016-01-19,98.410004,98.650002,95.500000,96.660004,53087700,92.325813
2016-01-15,96.199997,97.709999,95.360001,97.129997,79010000,92.774750
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,95.057579
2016-01-13,100.320000,101.190002,97.300003,97.389999,62439600,93.023087
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,95.477859
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,94.111984
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,92.612358
2016-01-07,98.680000,100.129997,96.430000,96.449997,81094400,92.125244
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,96.184654
2016-01-05,105.750000,105.849998,102.410004,102.709999,55791000,98.104546
2016-01-04,102.610001,105.370003,102.000000,105.349998,67649400,100.626175
2015-12-31,107.010002,107.029999,104.820000,105.260002,40635300,100.540207
2015-12-30,108.580002,108.699997,107.180000,107.320000,25213800,102.507828
2015-12-29,106.959999,109.430000,106.860001,108.739998,30931200,103.864151
2015-12-28,107.589996,107.690002,106.180000,106.820000,26704200,102.030251
2015-12-24,109.000000,109.000000,107.949997,108.029999,13570400,103.185997
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,103.740013
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,102.421867
2015-12-21,107.279999,107.370003,105.570000,107.330002,47590600,102.517380
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,101.275681
2015-12-17,112.019997,112.250000,108.980003,108.980003,44772800,104.093407
2015-12-16,111.070000,111.989998,108.800003,111.339996,56238500,106.347572
2015-12-15,111.940002,112.800003,110.349998,110.489998,53323100,105.535706
2015-12-14,112.180000,112.680000,109.790001,112.480003,64318700,107.436455
2015-12-11,115.190002,115.389999,112.849998,113.180000,46886200,108.105080
2015-12-10,116.040001,116.940002,115.510002,116.169998,29104200,110.961006
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,110.435677
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,112.928642
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,112.976395
2015-12-04,115.290001,119.250000,115.110001,119.029999,57777000,113.692772
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,110.034500
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,111.066078
2015-12-01,118.750000,118.809998,116.860001,117.339996,34852400,112.078529
2015-11-30,117.989998,119.410004,117.750000,118.300003,39180300,112.995499
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,112.527473
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,112.737602
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,113.549500
2015-11-23,119.269997,119.730003,117.339996,117.750000,32482500,112.470169
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,113.950661
2015-11-19,117.639999,119.750000,116.760002,118.779999,43295800,113.453979
2015-11-18,115.760002,117.489998,115.500000,117.290001,46674700,112.030785
2015-11-17,114.919998,115.050003,113.320000,113.690002,27616900,108.592209
2015-11-16,111.379997,114.239998,111.000000,114.180000,38106700,109.060242
2015-11-13,115.199997,115.570000,112.269997,112.339996,45812400,107.302750
2015-11-12,116.260002,116.820000,115.650002,115.720001,32525600,110.531181
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,110.903687
2015-11-10,116.900002,118.070000,116.059998,116.769997,59127900,111.534096
2015-11-09,120.959999,121.809998,120.050003,120.570000,33871400,115.163704
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,115.631737
2015-11-05,121.849998,122.690002,120.180000,120.919998,39552700,115.498016
2015-11-04,123.129997,123.820000,121.620003,122.000000,44886100,116.032906
2015-11-03,120.790001,123.489998,120.699997,122.570000,45519000,116.575035
2015-11-02,120.800003,121.360001,119.610001,121.180000,32203300,115.253029
2015-10-30,120.989998,121.220001,119.449997,119.500000,49365300,113.655197
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,114.634811
2015-10-28,116.930000,119.300003,116.059998,119.269997,85551400,113.436432
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,108.947304
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,109.641594
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,113.255737
2015-10-22,114.330002,115.500000,114.099998,115.500000,41654100,109.850830
2015-10-21,114.000000,115.580002,113.699997,113.760002,41795200,108.195953
2015-10-20,111.339996,114.169998,110.820000,113.769997,48778800,108.205444
2015-10-19,110.800003,111.750000,110.110001,111.730003,29759200,106.265236
2015-10-16,111.779999,112.000000,110.529999,111.040001,39232600,105.608978
2015-10-15,110.930000,112.099998,110.489998,111.860001,37673500,106.388870
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,104.819572
2015-10-13,110.820000,112.449997,110.680000,111.790001,33049300,106.322281
2015-10-12,112.730003,112.750000,111.440002,111.599998,30467200,106.141563
2015-10-09,110.000000,112.279999,109.489998,112.120003,52766100,106.636162
2015-10-08,110.190002,110.190002,108.209999,109.500000,61979600,104.144302
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,105.361679
2015-10-06,110.629997,111.739998,109.769997,111.309998,48196800,105.865768
2015-10-05,109.879997,111.370003,109.070000,110.779999,52064700,105.361679
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,104.981232
2015-10-01,109.070000,109.620003,107.309998,109.580002,63929100,104.220398
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,104.905174
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,103.725800
2015-09-28,113.849998,114.570000,112.440002,112.440002,52109000,106.940506
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,109.099472
